,n_probes,"build_time, s","query_time, ms",R@1,R@100,build_time
0,1.0,,0.5725272178649903,0.6203,0.514779,2.2985637187957764
1,2.0,,1.1090500354766846,0.7932,0.704165,2.2985637187957764
2,3.0,,1.626978373527527,0.8731,0.803375,2.2985637187957764
3,4.0,,2.169302749633789,0.9174,0.862976,2.2985637187957764
4,5.0,,2.700396919250488,0.9442,0.901217,2.2985637187957764
5,7.0,,3.777906394004822,0.9697,0.946395,2.2985637187957764
6,10.0,,5.489930868148804,0.9833,0.976011,2.2985637187957764
7,15.0,,8.292708992958069,0.9896,0.992908,2.2985637187957764
8,20.0,,11.731732392311097,0.9909,0.997771,2.2985637187957764
9,30.0,,14.614702510833741,0.9914,0.999679,2.2985637187957764
