,Selected clusters,"Build time, s","Query time, ms",Recall
0,0,140.9,1.434,0.8988
1,1,140.9,2.007,0.9583
2,2,140.9,2.569,0.9772
3,3,140.9,3.241,0.9838
4,5,140.9,3.896,0.9879
5,7,140.9,5.035,0.9907
6,10,140.9,7.341,0.992
7,15,140.9,8.973,0.9925
8,25,140.9,13.5,0.9925
