,Selected clusters,"Build time, s","Query time, ms",Recall
0,0,21.32,6.854,0.5097
1,1,21.32,7.276,0.7021
2,2,21.32,11.48,0.8013
3,3,21.32,12.69,0.8611
4,5,21.32,13.27,0.8997
5,7,21.32,10.09,0.9443
6,10,21.32,7.444,0.9749
7,15,21.32,9.877,0.9925
8,25,21.32,15.06,0.9992
