,Selected clusters,"Build time, s","Query time, ms",Recall
0,0,132.6,1.509,0.8002
1,1,132.6,2.409,0.9081
2,2,132.6,3.291,0.9495
3,3,132.6,4.346,0.9696
4,5,132.6,5.599,0.9806
5,7,132.6,7.497,0.9914
6,10,132.6,9.624,0.997
7,15,132.6,13.66,0.9993
8,25,132.6,20.88,0.9999
