average_query_time average_recall
3.450312999999999 0.226
4.820322000000002 0.352
6.883882999999989 0.574
8.873182000000009 0.722
11.323137 0.843
13.106318 0.886
16.865839999999995 0.935
19.60853699999998 0.961
21.528616999999983 0.976
