average_query_time average_recall
2.7016990000000014 0.24
4.355832 0.384
6.051789000000003 0.621
7.850106000000006 0.765
9.718283999999986 0.875
11.456400000000006 0.925
13.553474999999999 0.959
20.078605999999997 0.977
22.113495999999998 0.984
